Holasandur (10cm depth),,Holasandur (surface),,Hverfjall (10cm depth),,Hverfjall (surface),
X,Y,X,Y,X,Y,X,Y
79888.75620742608,0.9997766942331636,79888.75620742592,0.9991246974931474,79888.75620742608,0.9991246974931474,79888.75620742608,0.9997766942331636
39933.59711903672,0.9959301627966047,39933.59711903672,0.9515943844754964,40065.6752485564,0.9685459880539985,40065.6752485564,0.9633300141338681
19961.40952207372,0.929491944318481,19961.40952207372,0.6895571439924827,19961.40952207372,0.9131920258180736,20027.4307628949,0.8571199945147502
9978.010969564955,0.786118110518434,9978.010969564955,0.4627277274703493,10011.01268041154,0.8187176358573274,9978.010969564955,0.7007065375762987
4987.658952573583,0.551464733116105,4987.658952573583,0.3265258578104816,5004.155354417227,0.6707798248771663,5004.155354417227,0.4901767278926513
2493.156391896813,0.31811534919380857,2493.156391896813,0.19619195881076046,2501.4023666298203,0.4589463333754077,2501.4023666298203,0.29920713207141425
1246.2417445861308,0.1916934306341853,1246.2417445861308,0.09780590007183809,1250.3636191586525,0.26928073103420336,1250.3636191586525,0.16104927219149767
898.7375498676503,0.10044474156214311,901.7100738344179,0.03394076241855881,898.7375498676503,0.1180486535425832,898.7375498676503,0.05154498606092062
449.2474903349271,0.0692143470448996,450.7333511763122,0.01575030270164146,449.2474903349271,0.05878239920463868,449.2474903349271,0.023574575243758833
319.7275904445509,0.027518656861782453,319.7275904445509,0.000786790521114078,319.7275904445509,0.00600276444124459,319.7275904445509,0.006654761181260849
200.05399455823678,0.01191499109426064,199.3945084210317,0.00017936143588870301,200.05399455823678,0.0008310465139833578,199.3945084210317,0.00017936143588870301
